year,color,variety,bearing_acres,non_bearing_acres,total_acres,tons,price_per_ton_usd,value_usd
2005,white,Viognier,238.9,24.7,263.6,554.7,2099.50,1164600
2005,white,White Riesling,29.0,6.0,35.0,93.1,2045.04,190400
2005,white,Other Whites,269.8,367.3,637.1,734.5,1169.64,859100
2005,red,Cabernet Franc,701.4,64.8,766.2,2318.8,2506.83,5812900
2005,red,Cabernet Sauvignon,11791.6,875.4,12667.0,45577.2,2305.27,105067800
2005,red,Carignane,189.3,8.8,198.1,440.6,1888.61,832200
2005,red,Malbec,249.3,36.1,285.4,731.8,2496.31,1826800
2005,red,Merlot,7137.8,315.6,7453.4,31656.3,1591.72,50388000
2005,red,Meunier,119.0,13.0,132.0,332.2,1991.00,661500
2005,red,Petite Sirah,418.1,63.4,481.5,2125.4,2293.95,4875600
2005,red,Petite Verdot,162.8,18.4,181.2,634.6,2608.88,1655600
2005,red,Pinot Noir,9887.7,1228.9,11116.6,26944.3,2128.99,57364200
2005,red,Sangiovese,318.4,6.8,325.2,1528.5,1797.84,2748000
2005,red,Syrah-Shiraz,1788.7,268.9,2057.6,7959.4,2145.47,17076700
2005,red,Zinfandel,5326.6,504.8,5831.4,17866.5,2306.54,41209800
2005,red,Other Reds,890.6,723.5,1614.0,1827.6,1260.29,2303300
2006,white,Chardonnay,14071.8,1696.4,15768.2,61986.2,1725.98,106987000
2006,white,French Colombard,90.7,0.0,90.7,352.3,550.70,194100
2006,white,Gewürztraminer,152.2,4.9,157.1,458.6,1537.11,705000
2006,white,Muscat Blanc,18.6,0.3,18.9,49.0,2025.60,99300
2006,white,Pinot Blanc,85.6,19.0,104.6,375.9,1641.50,617100
2006,white,Pinot Gris,369.8,83.0,452.8,1813.2,1794.95,3254700
2006,white,Sauvignon Blanc,2143.4,402.1,2545.5,13461.2,1448.86,19503400
2006,white,Semillon,158.4,0.0,158.4,650.0,2049.64,1332300
2006,white,Viognier,250.5,22.2,272.7,629.9,2206.26,1389800
2006,white,White Riesling,29.2,6.0,35.2,82.0,2353.06,193000
2006,white,Other Whites,186.8,43.1,229.9,742.4,1463.90,1086800
2006,red,Cabernet Franc,679.7,59.2,738.9,1664.9,2395.21,3987800
2006,red,Cabernet Sauvignon,11527.2,547.4,12074.6,38410.3,2265.69,87025900
2006,red,Carignane,188.0,1.6,189.6,394.4,1804.52,711800
2006,red,Malbec,241.1,43.3,284.4,1393.0,2483.61,3459700
2006,red,Merlot,6697.4,197.5,6894.9,26015.2,1529.52,39790800
2006,red,Meunier,103.0,3.0,106.0,682.8,2166.97,1479700
2006,red,Petite Sirah,417.3,65.7,483.0,1708.7,2371.27,4051800
2006,red,Petite Verdot,167.9,44.7,212.6,651.2,2677.21,1743400
2006,red,Pinot Noir,9884.7,1146.2,11030.9,38453.8,2507.31,96415600
2006,red,Sangiovese,288.5,6.8,295.3,1275.1,1924.10,2453500
2006,red,Syrah-Shiraz,1804.9,129.1,1934.0,6844.1,2231.25,15270900
2006,red,Zinfandel,5433.0,236.4,5669.4,16683.7,2309.13,38524900
2006,red,Other Reds,517.5,37.3,554.8,1469.6,2110.57,3101700
2007,red,Cabernet Franc,635.6,58.8,694.4,2066.5,2097.15,4333800
2007,red,Cabernet Sauvignon,11405.0,688.7,12093.7,41550.6,2237.73,92979100
2007,red,Carignane,180.5,0.6,181.1,384.6,1861.81,716100
2007,red,Malbec,252.7,77.3,330.0,837.2,2487.87,2082900
2007,red,Merlot,6206.6,211.8,6418.4,21337.4,1452.25,30987300
2007,red,Meunier,114.4,1.5,115.9,416.7,2476.94,1032200
2007,red,Petite Sirah,444.7,101.7,546.4,2320.1,2428.79,5635100
2007,red,Petite Verdot,164.8,52.3,217.1,704.9,2688.20,1895000
2007,red,Pinot Noir,10198.1,1612.3,11810.3,29486.9,2831.16,83482200
2007,red,Sangiovese,275.7,13.9,289.6,937.5,2008.00,1882500
2007,red,Syrah-Shiraz,1749.4,206.0,1955.4,7860.4,2233.46,17555900
2007,red,Zinfandel,5211.9,244.3,5456.2,14591.5,2376.30,34673800
2007,red,Other Reds,483.9,143.7,627.6,1754.6,2986.55,5240200
2007,white,Chardonnay,13950.4,2077.7,16028.1,58433.3,1869.52,109242300
2007,white,French Colombard,80.0,7.6,87.6,434.4,448.72,195000
2007,white,Gewürztraminer,132.3,15.6,147.9,374.9,1570.88,587900
2007,white,Muscat Blanc,19.4,0.3,19.7,73.3,2049.84,150300
2007,white,Pinot Blanc,62.3,0.0,62.3,326.8,1669.65,545700
2007,white,Pinot Gris,401.6,106.4,508.0,1583.4,1853.87,2935500
2007,white,Sauvignon Blanc,2279.1,269.3,2548.4,10893.3,1490.72,16238900
2007,white,Semillon,150.5,1.0,151.5,535.4,1923.61,1030000
2007,white,Viognier,216.3,59.3,275.6,698.4,2238.17,1563200
2007,white,White Riesling,25.9,1.0,26.9,150.3,2183.18,328200
2007,white,Other Whites,221.7,78.8,215.3,781.1,1583.02,1236500
2008,red,Cabernet Franc,638.7,49.9,688.6,1594.8,2338.83,3730000
2008,red,Cabernet Sauvignon,11576.0,678.4,12254.4,31870.8,2321.51,73988400
